source,index,point_count,span,mean_spacing,mu1,mu2,mu3,mu4_raw,mu4_gt2,q4_per_core,pair_part_per_core,three_index_part_per_core,reconstruction_relative_error,window_start
CUE,3,512,510.7734975420809,0.9995567466576926,1.0,1.3148355626871249,1.924827324284535,3.043529159543076,0.04791211319447209,0.013420691722950025,1.995617046348604,0.034491421471522066,1.4591258587341202e-16,-1
CUE,4,512,511.02770897799627,1.0000542250058637,1.0,1.3170518791839447,1.9657290536535594,3.2116100297473262,0.20281257525264593,-0.004879465944145567,2.00879745449468,0.2076920411967915,0.0,-1
CUE,5,512,510.87298857544386,0.9997514453531191,1.0,1.289383347546042,1.860669959330269,2.9198920417414613,0.0909996039382353,0.0023570414051180266,1.828892437803226,0.08864256253311727,1.5209096894733207e-16,-1
CUE,6,512,509.75076773987087,0.9975553184733285,1.0,1.3053417390713309,1.9075336049150882,3.003793880257777,0.07419046960582279,-0.00031826928097956203,1.929603410651954,0.07450873888680234,0.0,-1
CUE,7,512,510.15053449774905,0.9983376408957907,1.0,1.3077875347807808,1.8995976983009677,2.968132366704129,0.02307188062281587,-0.005761261919863522,1.9450604860813132,0.028833142542679394,0.0,-1
CUE,8,512,511.01174544734783,1.0000229852198588,1.0,1.3180306078274602,1.9535943610601416,3.147371161312556,0.1337696524102916,0.0033102349850700624,2.0136015089022647,0.13045941742522155,0.0,-1
CUE,9,512,511.31400130147875,1.000614483955927,1.0,1.3091565072063687,1.91449956829331,3.0135685490710395,0.06988760898275906,0.00161416520358202,1.9436809400882813,0.06827344377917703,0.0,-1
CUE,10,512,510.654222414592,0.9993233315354051,1.0,1.3025653078102226,1.901622550305174,3.0082379220172593,0.09044473234241412,0.008038107117143603,1.9177931896748452,0.08240662522527052,0.0,-1
CUE,11,512,510.4944124077479,0.9990105917959842,1.0,1.3642075474001985,2.0973760056034267,3.484487976392348,0.15405159980097718,0.0024106494760662567,2.3304363765913707,0.15164095032491093,0.0,-1
CUE,12,512,510.7835900142733,0.9995764970925113,1.0,1.3083983209365604,1.9095219522582458,2.990620040026707,0.054326161930344175,-0.0031599303452585284,1.936293878096363,0.0574860922756027,0.0,-1
CUE,13,512,510.5890151056183,0.9991957242771395,1.0,1.2958371801681716,1.8800551802214966,2.9541648303658814,0.08388848652823787,0.001550472742726225,1.8702763438376435,0.08233801378551164,1.5032648323657043e-16,-1
