local_index,offset_text,absolute_gamma_decimal_string,theta_unfolded_relative_x
1058,687.38116756,144176897509546973687.38116756,1056.3373293741877
1059,687.60646804,144176897509546973687.60646804,1057.9358540599505
1060,687.72966440,144176897509546973687.72966440,1058.8099419565058
1061,687.85934167,144176897509546973687.85934167,1059.7300124209687
1062,687.95703273,144176897509546973687.95703273,1060.4231382012083
1063,688.13765732,144176897509546973688.13765732,1061.7046839217091
1064,688.32836527,144176897509546973688.32836527,1063.057771877164
1065,688.49604142,144176897509546973688.49604142,1064.2474473940056
1066,688.69356277,144176897509546973688.69356277,1065.6488769601574
1067,688.73424817,144176897509546973688.73424817,1065.9375430839495
1068,688.83663563,144176897509546973688.83663563,1066.6639901928174
1069,689.04943666,144176897509546973689.04943666,1068.173830294404
1070,689.15553266,144176897509546973689.15553266,1068.926589787241
1071,689.32174352,144176897509546973689.32174352,1070.1058689558954
1072,689.49401620,144176897509546973689.49401620,1071.328157215834
1073,689.58753739,144176897509546973689.58753739,1071.9916974393475
1074,689.71321067,144176897509546973689.71321067,1072.8833592787753
1075,689.87299576,144176897509546973689.87299576,1074.0170471021738
1076,689.96638851,144176897509546973689.96638851,1074.679676033751
1077,690.16563626,144176897509546973690.16563626,1076.093354544146
1078,690.35711885,144176897509546973690.35711885,1077.4519386315337
1079,690.53719557,144176897509546973690.53719557,1078.729597171148
1080,690.65257174,144176897509546973690.65257174,1079.548200202503
1081,690.73174673,144176897509546973690.73174673,1080.1099530048496
1082,690.89534740,144176897509546973690.89534740,1081.2707126694643
1083,691.07895604,144176897509546973691.07895604,1082.573430460209
1084,691.28615055,144176897509546973691.28615055,1084.0434918599428
1085,691.35305734,144176897509546973691.35305734,1084.518200815113
1086,691.54776403,144176897509546973691.54776403,1085.8996601464387
1087,691.65566428,144176897509546973691.65566428,1086.6652209354124
1088,691.80158847,144176897509546973691.80158847,1087.7005645794427
1089,691.90191650,144176897509546973691.90191650,1088.4123998699354
1090,692.08512378,144176897509546973692.08512378,1089.7122699798058
1091,692.19665726,144176897509546973692.19665726,1090.503608822355
1092,692.30895723,144176897509546973692.30895723,1091.300385971944
1093,692.47978074,144176897509546973692.47978074,1092.5123922563675
1094,692.62490022,144176897509546973692.62490022,1093.542026419442
1095,692.81010659,144176897509546973692.81010659,1094.8560802306256
1096,692.89313464,144176897509546973692.89313464,1095.4451707977462
1097,692.93403108,144176897509546973692.93403108,1095.7353342669933
1098,693.03773036,144176897509546973693.03773036,1096.4710888422867
1099,693.25531748,144176897509546973693.25531748,1098.01488663013
1100,693.38272120,144176897509546973693.38272120,1098.91882607792
1101,693.52569249,144176897509546973693.52569249,1099.9332186634142
1102,693.63450919,144176897509546973693.63450919,1100.7052817374622
1103,693.75510908,144176897509546973693.75510908,1101.5609474744604
1104,694.03569125,144176897509546973694.03569125,1103.551700113469
1105,694.11052428,144176897509546973694.11052428,1104.0826463669584
1106,694.26786274,144176897509546973694.26786274,1105.198975157425
1107,694.32007240,144176897509546973694.32007240,1105.5694068153837
1108,694.50383837,144176897509546973694.50383837,1106.8732408748945
1109,694.60509596,144176897509546973694.60509596,1107.5916714669456
1110,694.80519163,144176897509546973694.80519163,1109.0113660366565
1111,694.94570092,144176897509546973694.94570092,1110.008290537856
1112,695.08818862,144176897509546973695.08818862,1111.0192520141368
1113,695.22418561,144176897509546973695.22418561,1111.9841613907365
1114,695.42876431,144176897509546973695.42876431,1113.435663412087
1115,695.53915413,144176897509546973695.53915413,1114.2188878966815
1116,695.73301607,144176897509546973695.73301607,1115.5943536600917
1117,695.82116975,144176897509546973695.82116975,1116.2198109765645
1118,695.97130756,144176897509546973695.97130756,1117.285050587023
1119,696.05894735,144176897509546973696.05894735,1117.906861813391
1120,696.29739194,144176897509546973696.29739194,1119.5986449969048
1121,696.42961419,144176897509546973696.42961419,1120.5367722953113
1122,696.51336081,144176897509546973696.51336081,1121.1309611732897
1123,696.60467142,144176897509546973696.60467142,1121.7788171572497
1124,696.79662168,144176897509546973696.79662168,1123.1407194001945
1125,696.95570749,144176897509546973696.95570749,1124.2694457768075
1126,697.06936394,144176897509546973697.06936394,1125.0758472590464
1127,697.15101928,144176897509546973697.15101928,1125.6551983403863
1128,697.37425734,144176897509546973697.37425734,1127.2390899934878
1129,697.51323593,144176897509546973697.51323593,1128.2251540573882
1130,697.62898582,144176897509546973697.62898582,1129.0464086616364
1131,697.73587075,144176897509546973697.73587075,1129.8047656750834
1132,697.79274750,144176897509546973697.79274750,1130.2083107049075
1133,698.00543523,144176897509546973698.00543523,1131.7173469340528
1134,698.09273176,144176897509546973698.09273176,1132.3367227036315
1135,698.34700696,144176897509546973698.34700696,1134.1408253144082
1136,698.45821922,144176897509546973698.45821922,1134.9298850757077
1137,698.59999582,144176897509546973698.59999582,1135.9358012413702
1138,698.77246536,144176897509546973698.77246536,1137.1594862385443
1139,698.90426511,144176897509546973698.90426511,1138.0946158661084
1140,699.12336021,144176897509546973699.12336021,1139.6491128910577
1141,699.26336929,144176897509546973699.26336929,1140.6424883628317
1142,699.41425385,144176897509546973699.41425385,1141.713026223472
1143,699.47668893,144176897509546973699.47668893,1142.156008043296
1144,699.55573372,144176897509546973699.55573372,1142.7168370663674
1145,699.74283732,144176897509546973699.74283732,1144.0443518741258
1146,699.93436143,144176897509546973699.93436143,1145.40323054919
1147,700.13616959,144176897509546973700.13616959,1146.8350753705963
1148,700.25570043,144176897509546973700.25570043,1147.683156113478
1149,700.31037728,144176897509546973700.31037728,1148.071092679191
1150,700.40150339,144176897509546973700.40150339,1148.7176396210907
1151,700.54573570,144176897509546973700.54573570,1149.740979243002
1152,700.72196716,144176897509546973700.72196716,1150.9913553594577
1153,700.92230733,144176897509546973700.92230733,1152.4127846759636
1154,701.08394161,144176897509546973701.08394161,1153.5595926483456
1155,701.19169838,144176897509546973701.19169838,1154.3241354353963
1156,701.35733303,144176897509546973701.35733303,1155.4993263486278
1157,701.46394928,144176897509546973701.46394928,1156.2557770562714
1158,701.62525490,144176897509546973701.62525490,1157.4002531600163
1159,701.85521973,144176897509546973701.85521973,1159.0318717771281
1160,702.03777998,144176897509546973702.03777998,1160.3271511580865
1161,702.09088718,144176897509546973702.09088718,1160.7039509331769
1162,702.25791943,144176897509546973702.25791943,1161.8890579287033
1163,702.36156061,144176897509546973702.36156061,1162.624400279912
1164,702.44322639,144176897509546973702.44322639,1163.2038254338754
1165,702.51779625,144176897509546973702.51779625,1163.7329044754463
1166,702.62530126,144176897509546973702.62530126,1164.4956610054287
1167,702.84472390,144176897509546973702.84472390,1166.0524819525267
1168,702.93115669,144176897509546973702.93115669,1166.6657294186411
1169,703.06846598,144176897509546973703.06846598,1167.6399496673043
1170,703.26034781,144176897509546973703.26034781,1169.001366393999
1171,703.46034109,144176897509546973703.46034109,1170.4203344985795
1172,703.58304532,144176897509546973703.58304532,1171.290930693947
1173,703.75518381,144176897509546973703.75518381,1172.5122668652457
1174,703.88982586,144176897509546973703.88982586,1173.467562835617
1175,704.06515751,144176897509546973704.06515751,1174.7115547291119
1176,704.13560145,144176897509546973704.13560145,1175.211360042675
1177,704.29846807,144176897509546973704.29846807,1176.3669115646105
1178,704.38969106,144176897509546973704.38969106,1177.0141458777557
1179,704.47969564,144176897509546973704.47969564,1177.652735475797
1180,704.72141359,144176897509546973704.72141359,1179.3677434068363
1181,704.88253009,144176897509546973704.88253009,1180.5108776892564
1182,704.98156577,144176897509546973704.98156577,1181.21354365451
1183,705.09354841,144176897509546973705.09354841,1182.008069322706
1184,705.20457446,144176897509546973705.20457446,1182.7958079093603
1185,705.28102978,144176897509546973705.28102978,1183.3382644384271
1186,705.35575836,144176897509546973705.35575836,1183.8684696109237
1187,705.52005927,144176897509546973705.52005927,1185.0341975335996
1188,705.75675433,144176897509546973705.75675433,1186.713567663695
1189,705.86657734,144176897509546973705.86657734,1187.492770586608
1190,706.04463207,144176897509546973706.04463207,1188.7560829476017
1191,706.23233825,144176897509546973706.23233825,1190.0878731080143
1192,706.29678157,144176897509546973706.29678157,1190.5451035491235
1193,706.47439210,144176897509546973706.47439210,1191.8052642760622
1194,706.59050390,144176897509546973706.59050390,1192.6290866603213
1195,706.84132295,144176897509546973706.84132295,1194.408667614097
