dataset,role,location_id,m,lambda,n_pos_res,n_neg_res,n_unres,p_pos_res,p_neg_res,p_unres,H_norm2_from_spectrum,epsilon_screen,min_abs_H_eigenvalue,trace_formula,trace_spectrum,trace_abs_error,frobH2_formula,frobH2_spectrum,frobH2_abs_error,npos_lower_bound_raw,b_pos_normalized,bound_slack_fraction
low_height_first_10000,primary,2,128,0.9,78,50,0,0.609375,0.390625,0.0,1.4605188323470446,1.4605188323470447e-10,0.0029920471298751083,12.799999999999997,12.799999999999994,3.552713678800501e-15,96.39168737425274,96.39168737425274,0.0,1.6997316310468837,0.01327915336755378,0.5960958466324462
low_height_first_10000,primary,2,128,0.95,75,53,0,0.5859375,0.4140625,0.0,1.5972143230329912,1.5972143230329913e-10,0.012545131764709172,6.400000000000006,6.400000000000006,0.0,106.29320722871987,106.29320722871987,0.0,0.385349177693576,0.0030105404507310626,0.582926959549269
low_height_first_10000,primary,2,256,0.1,256,0,0,1.0,0.0,0.0,0.9998353927832491,1e-10,0.7239317705855245,230.4,230.39999999999998,2.842170943040401e-14,209.69402019647677,209.69402019647674,2.842170943040401e-14,253.15056647901451,0.9888694003086504,0.011130599691349552
low_height_first_10000,primary,2,256,0.15,256,0,0,1.0,0.0,0.0,0.9997530891748736,1e-10,0.5858976558782868,217.6,217.60000000000002,2.842170943040401e-14,190.21154544207272,190.21154544207275,2.842170943040401e-14,248.93210288552098,0.9723910268965663,0.027608973103433687
low_height_first_10000,primary,2,256,0.2,256,0,0,1.0,0.0,0.0,0.9996707855664981,1e-10,0.447863541171049,204.8,204.8,0.0,173.1760807859071,173.1760807859071,0.0,242.1988060340334,0.946089086070443,0.05391091392955705
low_height_first_10000,primary,2,256,0.25,256,0,0,1.0,0.0,0.0,0.9995884819581227,1e-10,0.3098294264638113,192.0,192.0,0.0,158.58762622797983,158.58762622797983,0.0,232.45193131906552,0.9080153567150997,0.0919846432849003
low_height_first_10000,primary,2,256,0.3,256,0,0,1.0,0.0,0.0,0.9995061783497471,1e-10,0.1717953117565736,179.2,179.20000000000002,2.842170943040401e-14,146.44618176829096,146.44618176829096,0.0,219.279462340705,0.8565603997683789,0.14343960023162106
low_height_first_10000,primary,2,256,0.35,256,0,0,1.0,0.0,0.0,0.9994238747413716,1e-10,0.03376119704933589,166.4,166.39999999999998,2.842170943040401e-14,136.75174740684045,136.75174740684045,0.0,202.4760964671591,0.7909222518248402,0.20907774817515978
low_height_first_10000,primary,2,256,0.4,224,32,0,0.875,0.125,0.0,0.9993415711329962,1e-10,0.01232425053961983,153.6,153.6,0.0,129.50432314362834,129.50432314362834,0.0,182.1789375620607,0.7116364748517996,0.1633635251482004
low_height_first_10000,primary,2,256,0.45,207,49,0,0.80859375,0.19140625,0.0,0.9992592675246207,1e-10,0.0030275679296623004,140.8,140.8,0.0,124.70390897865461,124.7039089786546,1.4210854715202004e-14,158.97368544712867,0.6209909587778464,0.18760279122215362
